Project Title : exSitu_35Zr39Ti25Nb 
Material : 35Zr39Ti25Nb 
Informations :  
Date : 17/05/2019 
Type test : Tension / Compression 
Control Mod : Manual 
Section : Rectangular 
Width(mm) : 2.210000 
Total Length(mm) : 50.000000 
Gauge Length(mm) : 5.100000 
Thickness(mm) : 0.950000 
====================================================================================================
Time (s) 	Speed (µm/s) 	Traverse Speed (µm/s) 	Displacement (µm) 	Force (N) 	Real Speed (µm/s) 	Cal. Force (V) 	Stress (Mpa) 	Elongation (%) 	Speed Controller Input Voltage (V) 	
0.100000 	5.000000 	5.000000 	-543.100000 	4.821489 	0.007756 	2.462335 	2.296494 	-10.649020 	1.377600 	
0.200000 	5.000000 	5.000000 	-543.100000 	4.713030 	0.008463 	2.462244 	2.244834 	-10.649020 	1.377600 	
0.300000 	5.000000 	5.000000 	-543.100000 	4.722890 	0.007549 	2.462253 	2.249531 	-10.649020 	1.377600 	
0.400000 	5.000000 	5.000000 	-543.100000 	4.742610 	0.007744 	2.462269 	2.258923 	-10.649020 	1.377600 	
0.500000 	5.000000 	5.000000 	-543.100000 	4.870788 	0.007157 	2.462376 	2.319975 	-10.649020 	1.377600 	
0.600000 	5.000000 	5.000000 	-543.100000 	5.186305 	0.005760 	2.462639 	2.470257 	-10.649020 	1.377600 	
0.700000 	5.000000 	5.000000 	-543.100000 	5.334203 	0.006272 	2.462762 	2.540702 	-10.649020 	1.377600 	
0.800000 	5.000000 	5.000000 	-543.100000 	5.462382 	0.005332 	2.462869 	2.601754 	-10.649020 	1.377600 	
0.900000 	5.000000 	5.000000 	-543.100000 	5.422942 	0.006347 	2.462836 	2.582969 	-10.649020 	1.377600 	
1.000000 	5.000000 	5.000000 	-543.100000 	5.442662 	0.006412 	2.462852 	2.592361 	-10.649020 	1.377600 	
1.100000 	5.000000 	5.000000 	-543.100000 	5.215885 	0.006551 	2.462663 	2.484346 	-10.649020 	1.377600 	
1.200000 	5.000000 	5.000000 	-543.100000 	5.067986 	0.006234 	2.462540 	2.413901 	-10.649020 	1.377600 	
1.300000 	5.000000 	5.000000 	-543.100000 	5.077846 	0.005125 	2.462548 	2.418598 	-10.649020 	1.377600 	
1.400000 	5.000000 	5.000000 	-543.100000 	4.772189 	0.007044 	2.462294 	2.273012 	-10.649020 	1.377600 	
1.500000 	5.000000 	5.000000 	-543.100000 	4.831349 	0.007054 	2.462343 	2.301190 	-10.649020 	1.377600 	
1.600000 	5.000000 	5.000000 	-543.100000 	4.998967 	0.007268 	2.462483 	2.381027 	-10.649020 	1.377600 	
1.700000 	5.000000 	5.000000 	-543.100000 	4.949667 	0.007352 	2.462442 	2.357546 	-10.649020 	1.377600 	
1.800000 	5.000000 	5.000000 	-543.100000 	4.870788 	0.005731 	2.462376 	2.319975 	-10.649020 	1.377600 	
1.900000 	5.000000 	5.000000 	-543.100000 	4.703170 	0.005880 	2.462236 	2.240138 	-10.649020 	1.377600 	
2.000000 	5.000000 	5.000000 	-543.100000 	4.604571 	0.006700 	2.462154 	2.193175 	-10.649020 	1.377600 	
2.100000 	5.000000 	5.000000 	-543.100000 	4.693310 	0.006700 	2.462228 	2.235442 	-10.649020 	1.377600 	
2.200000 	5.000000 	5.000000 	-543.100000 	4.791909 	0.006924 	2.462310 	2.282405 	-10.649020 	1.377600 	
2.300000 	5.000000 	5.000000 	-543.100000 	5.038406 	0.006551 	2.462515 	2.399813 	-10.649020 	1.377600 	
2.400000 	5.000000 	5.000000 	-543.100000 	4.880648 	0.007148 	2.462384 	2.324672 	-10.649020 	1.377600 	
2.500000 	5.000000 	5.000000 	-543.100000 	4.713030 	0.006924 	2.462244 	2.244834 	-10.649020 	1.377600 	
2.600000 	5.000000 	5.000000 	-543.100000 	4.880648 	0.006179 	2.462384 	2.324672 	-10.649020 	1.377600 	
2.700000 	5.000000 	5.000000 	-543.100000 	4.860928 	0.006198 	2.462368 	2.315279 	-10.649020 	1.377600 	
2.800000 	5.000000 	5.000000 	-543.100000 	4.811629 	0.005154 	2.462327 	2.291798 	-10.649020 	1.377600 	
2.900000 	5.000000 	5.000000 	-543.100000 	4.851068 	0.006691 	2.462359 	2.310583 	-10.649020 	1.377600 	
3.000000 	5.000000 	5.000000 	-543.100000 	4.782049 	0.007670 	2.462302 	2.277709 	-10.649020 	1.377600 	
3.100000 	5.000000 	5.000000 	-543.100000 	4.791909 	0.009449 	2.462310 	2.282405 	-10.649020 	1.377600 	
3.200000 	5.000000 	5.000000 	-543.100000 	4.713030 	0.010260 	2.462244 	2.244834 	-10.649020 	1.377600 	
3.300000 	5.000000 	5.000000 	-543.100000 	4.604571 	0.009449 	2.462154 	2.193175 	-10.649020 	1.377600 	
3.400000 	5.000000 	5.000000 	-543.100000 	4.732750 	0.009067 	2.462261 	2.254227 	-10.649020 	1.377600 	
3.500000 	5.000000 	5.000000 	-543.100000 	4.713030 	0.008228 	2.462244 	2.244834 	-10.649020 	1.377600 	
3.600000 	5.000000 	5.000000 	-543.100000 	4.870788 	0.008163 	2.462376 	2.319975 	-10.649020 	1.377600 	
3.700000 	5.000000 	5.000000 	-543.100000 	5.048266 	0.008098 	2.462524 	2.404509 	-10.649020 	1.377600 	
