Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
0.01000000	0.00000000	0.00000000	0.00000000	0.00000000	0.78051030	1.72691261	0.95575731	0.00000000	0.00000000	0.00000000	0.00000000	
1.01000000	0.00129379	0.00051125	0.00069707	0.00083404	0.78201591	1.72720842	0.95470318	0.00150560	0.00029580	-0.00105413	0.00024909	
2.01000000	0.00132564	0.00079006	0.00205491	0.00139020	0.78126072	1.72636773	0.95434306	0.00075041	-0.00054489	-0.00141425	-0.00040291	
3.01000000	0.00095617	0.00030829	0.00189450	0.00105299	0.78127364	1.72714678	0.95540019	0.00076334	0.00023416	-0.00035712	0.00021346	
4.01000000	0.00054134	0.00114834	0.00181895	0.00116954	0.78119318	1.72584325	0.95435744	0.00068288	-0.00106936	-0.00139988	-0.00059545	
5.01000000	0.00045468	0.00080049	0.00182388	0.00102635	0.78165165	1.72628013	0.95423414	0.00114134	-0.00063248	-0.00152318	-0.00033810	
6.01000000	0.00094168	0.00017027	0.00169021	0.00093405	0.78126984	1.72711979	0.95530235	0.00075954	0.00020717	-0.00045496	0.00017058	
7.01000000	0.00051924	0.00070127	0.00024623	0.00048891	0.78100043	1.72725244	0.95546206	0.00049012	0.00033983	-0.00029525	0.00017823	
8.01000000	0.00028812	0.00260332	0.00175751	0.00154965	0.78045957	1.72488562	0.95434920	-0.00005073	-0.00202699	-0.00140812	-0.00116195	
9.01000000	0.00123657	0.00091509	0.00103973	0.00106380	0.78185091	1.72716093	0.95450525	0.00134060	0.00024831	-0.00125207	0.00011228	
10.01000000	0.00066949	0.00148701	0.00107857	0.00107836	0.78133217	1.72688771	0.95528131	0.00082186	-0.00002491	-0.00047600	0.00010698	
11.01000000	0.00101183	0.00108556	0.00024874	0.00078204	0.78212121	1.72761654	0.95508379	0.00161091	0.00070392	-0.00067352	0.00054710	
12.01000000	0.00096713	0.00176999	0.00095883	0.00123198	0.78103424	1.72659689	0.95522571	0.00052393	-0.00031572	-0.00053160	-0.00010780	
13.01000000	0.00084591	0.00082944	0.00031980	0.00066505	0.77995328	1.72696789	0.95631905	-0.00055703	0.00005527	0.00056174	0.00002000	
14.01000000	0.00140378	0.00137881	0.00148279	0.00142180	0.78082489	1.72679455	0.95567514	0.00031458	-0.00011807	-0.00008217	0.00003812	
15.01000000	0.00050205	0.00071043	0.00115802	0.00079016	0.78140563	1.72638658	0.95440062	0.00089533	-0.00052603	-0.00135670	-0.00032913	
16.01000000	0.00172750	0.00180681	0.00085381	0.00146270	0.78202383	1.72888997	0.95644134	0.00151352	0.00197736	0.00068402	0.00139163	
17.01000000	0.00128843	0.00213976	0.00221275	0.00188031	0.77997091	1.72518396	0.95480952	-0.00053940	-0.00172866	-0.00094779	-0.00107195	
18.01000000	0.00186766	0.00215397	0.00123254	0.00175139	0.78005711	1.72692077	0.95631441	-0.00045320	0.00000816	0.00055710	0.00003735	
19.01000000	0.00241222	0.00214166	0.00140364	0.00198584	0.78032967	1.72781590	0.95679613	-0.00018064	0.00090328	0.00103882	0.00058716	
20.01000000	0.00253791	0.00366845	0.00237373	0.00286003	0.78026653	1.72706629	0.95652612	-0.00024378	0.00015368	0.00076881	0.00022624	
21.01000000	0.00352703	0.00250855	0.00503175	0.00368911	0.78158456	1.72579236	0.95383172	0.00107426	-0.00112026	-0.00192559	-0.00065720	
22.01000000	0.00380599	0.00496957	0.00583789	0.00487115	0.77920431	1.72555916	0.95590032	-0.00130600	-0.00135345	0.00014301	-0.00083881	
23.01000000	0.00716361	0.00654338	0.00647469	0.00672723	0.78065124	1.72698034	0.95578347	0.00014094	0.00006773	0.00002616	0.00007827	
24.01000000	0.00832933	0.00755141	0.00932853	0.00840309	0.78105012	1.72586242	0.95433644	0.00053982	-0.00105020	-0.00142087	-0.00064375	
25.01000000	0.00754659	0.00900332	0.00904894	0.00853295	0.77887339	1.72592746	0.95640477	-0.00163691	-0.00098515	0.00064746	-0.00065820	
26.01000000	0.00982550	0.00920911	0.00973186	0.00958882	0.78081284	1.72742066	0.95612194	0.00030253	0.00050805	0.00036463	0.00039174	
27.01000000	0.01042771	0.01101472	0.00910785	0.01018343	0.78110169	1.72852372	0.95645132	0.00059139	0.00161111	0.00069401	0.00096550	
28.01000000	0.00997801	0.00987719	0.01164230	0.01049917	0.78015913	1.72646916	0.95592930	-0.00035117	-0.00044346	0.00017199	-0.00020755	
29.01000000	0.01150954	0.00861276	0.00988292	0.01000174	0.78232985	1.72826220	0.95571930	0.00181954	0.00134959	-0.00003801	0.00104370	
30.01000000	0.01045165	0.01049648	0.01001134	0.01031982	0.78162043	1.72791144	0.95543257	0.00111013	0.00099882	-0.00032475	0.00059473	
31.01000000	0.00970126	0.01005721	0.00929960	0.00968603	0.78063099	1.72741406	0.95600007	0.00012068	0.00050144	0.00024276	0.00028830	
32.01000000	0.00966153	0.00880144	0.00899988	0.00915429	0.78144328	1.72772732	0.95569258	0.00093298	0.00081470	-0.00006473	0.00056098	
33.01000000	0.00927738	0.01212830	0.01078790	0.01073119	0.77943797	1.72570900	0.95512237	-0.00107233	-0.00120362	-0.00063494	-0.00097030	
34.01000000	0.01129554	0.01073076	0.01243206	0.01148612	0.78074317	1.72660089	0.95544366	0.00023286	-0.00031173	-0.00031365	-0.00013084	
