Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.78051030	1.72691261	0.95575731	0.00000000	0.00000000	0.00000000	0.00000000	
0.10000000	0.00082194	0.00039398	0.00135171	0.00085587	0.78170455	1.72724405	0.95501605	0.00119424	0.00033143	-0.00074126	0.00026147	
0.20000000	0.00063198	0.00072855	0.00101136	0.00079063	0.78118979	1.72717077	0.95546613	0.00067948	0.00025815	-0.00029119	0.00021548	
0.30000000	0.00024210	0.00101504	0.00131162	0.00085625	0.78085724	1.72652458	0.95493215	0.00034693	-0.00038804	-0.00082516	-0.00028875	
0.40000000	0.00018330	0.00027425	0.00102406	0.00049387	0.78088016	1.72724051	0.95579387	0.00036985	0.00032789	0.00003655	0.00024477	
0.50000000	0.00018166	0.00064510	0.00058162	0.00046946	0.78124520	1.72676505	0.95500268	0.00073489	-0.00014757	-0.00075463	-0.00005577	
0.60000000	0.00068099	0.00070786	0.00143565	0.00094150	0.78107960	1.72620666	0.95462271	0.00056930	-0.00070595	-0.00113461	-0.00042375	
0.70000000	0.00068099	0.00070786	0.00143565	0.00094150	0.78107960	1.72620666	0.95462271	0.00056930	-0.00070595	-0.00113461	-0.00042375	
0.80000000	0.00076549	0.00138946	0.00286597	0.00167364	0.78183214	1.72621610	0.95376361	0.00132184	-0.00069651	-0.00199371	-0.00045613	
0.90000000	0.00050775	0.00107364	0.00182291	0.00113477	0.78080070	1.72755052	0.95649175	0.00029040	0.00063790	0.00073444	0.00055425	
1.00000000	0.00129379	0.00051125	0.00069707	0.00083404	0.78201591	1.72720842	0.95470318	0.00150560	0.00029580	-0.00105413	0.00024909	
1.10000000	0.00062640	0.00153251	0.00086310	0.00100734	0.78164716	1.72666689	0.95465396	0.00113686	-0.00024573	-0.00110336	-0.00007074	
1.20000000	0.00062640	0.00153251	0.00086310	0.00100734	0.78164716	1.72666689	0.95465396	0.00113686	-0.00024573	-0.00110336	-0.00007074	
1.30000000	0.00063792	0.00204843	0.00224955	0.00164530	0.78097288	1.72629154	0.95440313	0.00046257	-0.00062108	-0.00135418	-0.00050423	
1.40000000	0.00071917	0.00082040	0.00061350	0.00071769	0.78079506	1.72713498	0.95584852	0.00028475	0.00022236	0.00009120	0.00019944	
1.50000000	0.00080972	0.00086380	0.00175240	0.00114197	0.78036691	1.72593101	0.95504140	-0.00014340	-0.00098161	-0.00071591	-0.00061364	
1.60000000	0.00038922	0.00070154	0.00025488	0.00044855	0.78019855	1.72705242	0.95616523	-0.00031175	0.00013981	0.00040792	0.00007866	
1.70000000	0.00080743	0.00035245	0.00085527	0.00067172	0.78092064	1.72688233	0.95534700	0.00041033	-0.00003028	-0.00041031	-0.00001009	
